"Definition","Group","n","mean","sd","kw_p","q","q_signif"
"Centroid","Control",3,0.0834492262755046,0.000876728683316571,0.0090743170611316,NA,NA
"Centroid","Treat1",3,0.711908557633434,0.00137559265135339,0.0090743170611316,0.0808555983700523,"ns"
"Centroid","Treat2",3,0.637497980779373,0.0011531755392801,0.0090743170611316,0.0808555983700523,"ns"
"Centroid","Treat3",3,0.54258828525176,0.00121045616686467,0.0090743170611316,0.0808555983700523,"ns"
"Centroid","Treat4",3,0.589928315504303,0.000559529992310398,0.0090743170611316,0.0808555983700523,"ns"
"PairwiseMean","Control",3,0.146419250387917,0.000596977465832784,0.0090743170611316,NA,NA
"PairwiseMean","Treat1",3,0.71409895441499,0.00130786225688997,0.0090743170611316,0.0808555983700523,"ns"
"PairwiseMean","Treat2",3,0.640891075829723,0.00116386076182195,0.0090743170611316,0.0808555983700523,"ns"
"PairwiseMean","Treat3",3,0.547274451733696,0.00115775572313796,0.0090743170611316,0.0808555983700523,"ns"
"PairwiseMean","Treat4",3,0.593919584743196,0.000441213821344131,0.0090743170611316,0.0808555983700523,"ns"
